PlayerName,team_name,IP,SIERA,ERA,K_pct,BB_pct,GS
Sonny Gray,BOS,44,3.9118,3.2727,0.1868,0.0604,9
Jack Perkins,ATH,25,2.555,5.04,0.2743,0.0442,0
Logan Webb,SFG,48,3.5435,5.0625,0.2019,0.0721,8
Logan Gilbert,SEA,62.1,3.3979,4.0428,0.25,0.0556,11
Joey Cantillo,CLE,56,4.4191,3.0536,0.2189,0.1159,11
Bryan Baker,TBR,22.1,3.0371,2.4179,0.2921,0.1011,0
Raisel Iglesias,ATL,15.2,2.12,0,0.3393,0.0536,0
Walker Buehler,SDP,46.1,4.1299,5.0504,0.203,0.0891,10
Rhett Lowder,CIN,38.1,4.9774,5.4,0.1627,0.1084,8
Chad Patrick,MIL,41,4.7969,2.6341,0.1758,0.103,5
Michael McGreevy,STL,56.1,4.1435,2.3964,0.1705,0.0553,10
Riley O'Brien,STL,24.1,2.0523,2.9589,0.2755,0.0408,0
Bradgley Rodriguez,SDP,25.1,3.2388,1.7763,0.2233,0.068,2
Luis Severino,ATH,61.2,4.1493,4.2324,0.2424,0.1174,11
Kyle Bradish,BAL,58.1,4.1346,3.8571,0.2402,0.1181,11
Walbert Ureña,LAA,38.1,4.5728,2.5826,0.2143,0.131,7
Jhoan Duran,PHI,15.2,1.8062,1.7234,0.3871,0.0806,0
Yusei Kikuchi,LAA,31,4.0569,5.8065,0.2324,0.0986,7
Jack Leiter,TEX,54.2,3.7588,4.6098,0.2521,0.0966,10
Framber Valdez,DET,61,4.2513,4.2787,0.1866,0.0858,11
Sean Newcomb,CHW,29.2,3.2022,3.0337,0.2114,0.065,0
Nathan Eovaldi,TEX,61.2,3.2747,3.6486,0.2383,0.0547,10
Grant Wolfram,BAL,13.2,1.723,4.6098,0.3231,0.0154,0
Keider Montero,DET,49.1,4.9294,3.8311,0.1633,0.0714,9
J.T. Ginn,ATH,53.2,4.1204,3.1863,0.2212,0.106,9
Bryan Hudson,CHW,25.1,3.6235,1.4211,0.2243,0.0935,3
Alex Vesia,LAD,18.2,3.0184,2.4107,0.3378,0.1216,0
Trevor Megill,MIL,17,2.7299,5.2941,0.3014,0.0822,0
José A. Ferrer,SEA,24,3.0583,1.875,0.2115,0.0288,0
Patrick Corbin,TOR,44.1,4.3991,3.8571,0.1684,0.0684,9
Brent Headrick,NYY,26.2,3.247,2.025,0.2566,0.0796,0
Kumar Rocker,TEX,50,4.2602,3.96,0.1944,0.1019,9
Daniel Lynch IV,KCR,22.2,2.6551,1.5882,0.2967,0.0769,0
Mick Abel,MIN,20.1,3.9237,3.9836,0.2473,0.1075,3
Garrett Whitlock,BOS,19.2,2.5492,3.2034,0.3086,0.0741,0
Jake Irvin,WSN,51.2,3.7672,5.2258,0.2544,0.0965,11
Mason Fluharty,TOR,19,3.0515,4.7368,0.3059,0.1059,2
Kevin Ginkel,ARI,20.2,2.6969,3.0484,0.2857,0.0714,0
Bryan King,HOU,23.1,3.9348,2.7,0.1782,0.0891,0
Andrew Abbott,CIN,56.2,5.0854,3.9706,0.1538,0.1053,11
Shane Drohan,MIL,25.1,3.1583,2.8421,0.2547,0.0755,1
Keaton Winn,SFG,23.1,3.4011,1.9286,0.2442,0.093,0
Jeff Hoffman,TOR,23,1.9177,5.087,0.3704,0.0741,0
Tanner Scott,LAD,21.2,2.1119,1.2462,0.3247,0.039,0
Kai-Wei Teng,HOU,37,3.7027,2.1892,0.2483,0.1034,4
Martín Pérez,ATL,46.2,3.8828,2.7,0.2162,0.0811,7
Jakob Junis,TEX,23,4.1782,1.5652,0.1494,0.0575,1
Hunter Brown,HOU,10.2,2.8943,0.8438,0.3953,0.1395,2
Drew Anderson,DET,33.2,3.1432,3.7426,0.2937,0.1119,1
Robert Suarez,ATL,22.1,3.0587,0.806,0.2326,0.0581,0
Gus Varland,WSN,20.1,3.7677,3.9836,0.2111,0.0778,0
Joe Boyle,TBR,15.2,3.829,5.1702,0.2424,0.0909,3
Shane Baz,BAL,57.1,4.5628,4.8663,0.192,0.1,10
Foster Griffin,WSN,62,3.7126,3.629,0.2317,0.0734,11
Juan Morillo,ARI,20.2,2.9145,2.6129,0.2706,0.0824,0
Jack Dreyer,LAD,21.2,2.7818,2.0769,0.2857,0.0714,0
Jack Kochanowicz,LAA,57.1,4.7383,4.5523,0.1627,0.1151,10
Colin Holderman,CLE,18.1,2.5357,1.4727,0.3,0.0714,0
Luis Castillo,SEA,50.1,3.9429,5.9007,0.2304,0.087,10
Brandon Woodruff,MIL,30,4.1849,3.6,0.2066,0.0579,6
Eric Orze,MIN,24,4.3535,3.375,0.2039,0.1262,0
Christian Scott,NYM,25.1,4.0404,3.1974,0.2632,0.1228,6
Taylor Rogers,MIN,19.1,4.3807,3.7241,0.1724,0.069,0
Spencer Miles,TOR,29,2.9854,2.1724,0.25,0.069,1
Jeffrey Springs,ATH,61.1,4.2933,4.1087,0.1969,0.0748,11
Aaron Nola,PHI,50.2,3.8455,6.0395,0.2277,0.0804,10
Trevor Rogers,BAL,42.2,4.5973,6.9609,0.1786,0.0867,9
Orlando Ribalta,WSN,11.2,3.6953,2.3143,0.2128,0.0851,0
Jaden Hill,COL,19.1,3.5659,2.7931,0.2442,0.1047,0
Enyel De Los Santos,HOU,21,3.4882,4.2857,0.2069,0.046,0
Lucas Erceg,KCR,21.1,4.4531,5.0625,0.1935,0.1398,0
Andrew Painter,PHI,50,4.2977,5.4,0.1835,0.0734,9
Anthony Bender,MIA,21.1,3.2712,3.375,0.2644,0.1034,0
Matt Brash,SEA,13.1,3.0232,0,0.234,0.0426,0
Tyler Rogers,TOR,24,3.3804,2.625,0.1515,0.0909,0
Brennan Bernardino,COL,21,3.5238,4.2857,0.1778,0.0556,2
Edward Cabrera,CHC,54,4.1535,4,0.207,0.0881,10
Andrés Muñoz,SEA,19.2,1.9642,4.5763,0.381,0.0833,0
Didier Fuentes,ATL,19.2,2.895,2.7458,0.2963,0.0864,1
Trevor McDonald,SFG,22.2,2.6998,4.7647,0.2234,0.0426,4
Michael Petersen,MIA,19.2,3.2154,3.661,0.2692,0.0897,0
Ian Seymour,TBR,28,3.2569,4.5,0.2627,0.0847,1
Mark Leiter Jr.,ATH,22.2,3.2558,5.9559,0.2376,0.0693,0
Andre Pallante,STL,55,4.2256,3.7636,0.1845,0.0858,10
Tyler Phillips,MIA,33.2,4.1991,1.0693,0.2153,0.125,1
Huascar Brazobán,NYM,26,4.0071,1.7308,0.1863,0.098,3
Sam Bachman,LAA,26,3.3346,2.4231,0.2621,0.1068,0
David Bednar,NYY,23,2.9661,4.6957,0.2642,0.0943,0
Evan Sisk,PIT,22.1,2.7523,1.6119,0.2955,0.0795,0
Chris Bassitt,BAL,47.1,4.6089,5.5141,0.1532,0.0856,8
Andrew Alvarez,WSN,12.2,2.1718,2.8421,0.3265,0.0612,0
Tyler Wells,BAL,25.1,3.3722,3.1974,0.2427,0.0583,0
Coleman Crow,MIL,10.1,4.0954,2.6129,0.175,0.025,2
Juan Mejia,COL,25.1,3.8718,4.6184,0.2544,0.1316,1
Brooks Raley,NYM,20,3.3278,1.35,0.2738,0.1071,0
Tyler Alexander,TEX,23.2,3.6336,1.9014,0.1881,0.0693,1
Steven Matz,TBR,41.1,4.3749,3.7016,0.1988,0.0904,8
Chase Dollander,COL,44,3.4843,3.8864,0.2487,0.0952,3
Zebby Matthews,MIN,19,3.3496,2.3684,0.2329,0.0274,3
Graham Ashcraft,CIN,27,3.5569,3.3333,0.2936,0.1468,0
Zac Gallen,ARI,54.1,4.3266,4.8037,0.1667,0.0708,11
Connor Prielipp,MIN,29,3.976,4.0345,0.2439,0.0976,6
José Suarez,- - -,23.1,3.8607,6.1714,0.2655,0.1416,1
Tommy Nance,TOR,21,2.7856,3.8571,0.2941,0.0941,0
Braydon Fisher,TOR,29.2,3.2883,2.7303,0.2743,0.1062,2
Jimmy Herget,COL,16,3.6219,5.0625,0.2429,0.0571,3
José Alvarado,PHI,17.2,3.1515,6.1132,0.2667,0.0889,0
Ryan Helsley,BAL,10.2,3.258,2.5313,0.3261,0.1522,0
Cole Sulser,TBR,22,4.4647,3.6818,0.1684,0.0947,1
Kevin Kelly,TBR,24.2,2.987,2.9189,0.191,0.0562,0
Bryce Miller,SEA,16,3.2117,2.25,0.2258,0.0323,2
Luke Weaver,NYM,22.1,3.2336,3.2239,0.2527,0.0879,0
Noah Schultz,CHW,38.2,5.0015,5.819,0.1964,0.131,8
Casey Legumina,- - -,21.2,4.1378,3.3231,0.1596,0.0638,0
Garrett Crochet,BOS,30,3.4123,6.3,0.2681,0.0797,6
Tanner Bibee,CLE,63,4.1488,4.5714,0.2068,0.0789,12
Joel Kuhnel,ATH,21,3.7147,2.1429,0.1548,0.0595,0
Slade Cecconi,CLE,57.1,4.2857,5.1802,0.1858,0.0791,11
Yennier Cano,BAL,19.1,2.5958,1.3966,0.2388,0.0448,0
Brandon Young,BAL,36.1,5.0405,3.4679,0.1605,0.0988,7
Isaac Mattson,PIT,19.2,4.9239,4.1186,0.1724,0.1149,0
Travis Adams,MIN,8,3.2645,3.375,0.2647,0.0882,0
Tanner Banks,PHI,19.2,3.7296,6.4068,0.2323,0.101,0
Jonathan Bowlan,PHI,16.1,3.1302,4.9592,0.2353,0.0588,0
Stephen Kolek,KCR,26,4.3583,2.7692,0.1429,0.051,4
Colin Rea,CHC,54,4.059,4.8333,0.188,0.0726,8
Carlos Rodón,NYY,13,4.6238,4.1538,0.2881,0.1864,3
